oot3d_entry,oot3d_name,n64_source,n64_name,port_file,status,notes
002e64fc,oot3d_pause_item_icon_group_set_mode,src/code/z_construct.c,Regs_InitDataImpl,src/overlays/misc/ovl_kaleido_scope/z_kaleido_pause_item_icon_group_set_mode.c,matched-c,OOT3D split helper recovered from the N64 Regs_InitDataImpl lane; switches item icon group modes and rebuilds groups 2 through 6. Compiled source is exact with the target ARM jump-table layout.
002f8a34,oot3d_pause_item_page_set_mode,src/code/z_construct.c,Regs_InitDataImpl,src/overlays/misc/ovl_kaleido_scope/z_kaleido_pause_item_page_set_mode.c,matched-c,OOT3D split helper recovered from the N64 Regs_InitDataImpl lane; sets item page mode and refreshes selected detail and inventory widgets. Compiled C is exact after recovering the missing VFP call arguments to FUN_002f7af4.
00442300,oot3d_pause_item_update_context_detail,src/code/z_construct.c,Regs_InitDataImpl,src/overlays/misc/ovl_kaleido_scope/z_kaleido_pause_item_update_context_detail.c,matched-c,OOT3D split helper recovered from the N64 Regs_InitDataImpl lane; resolves context detail ids 0x74 through 0x76 and updates the detail resource. Compiled source is exact with the duplicated close-prompt blocks preserved.
0046ac30,oot3d_pause_dungeon_item_page_init,src/code/z_construct.c,Regs_InitDataImpl,src/overlays/misc/ovl_kaleido_scope/z_kaleido_pause_dungeon_item_page_init.c,matched-c,OOT3D split helper recovered from the N64 Regs_InitDataImpl lane; compiled C is exact for the dungeon item page group initializer.
00398484,oot3d_boss_va_zapper_intro,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,BossVa_ZapperIntro,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,structured-port-started,N64 zapper intro state; OOT3D equivalent is split from setup and uses the +0xf90 action field.
0039858c,oot3d_boss_va_zapper_attack,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,BossVa_ZapperAttack,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,structured-port-started,"Primary zapper attack state; N64-derived structured port now covers player target aim, state transitions, burst timers, spark effects, and lightning collision hooks."
00399178,oot3d_boss_va_zapper_damaged,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,BossVa_ZapperDamaged,src/overlays/actors/ovl_Boss_Va/z_boss_va_zapper_damaged.c,matched-c,N64-derived zapper damaged state lowered to the OOT3D direct-offset target form; compiled source is exact for the damage recovery and enraged/attack transition helper.
0039980c,oot3d_boss_va_zapper_enraged,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,BossVa_ZapperEnraged,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,structured-port-started,"Enraged zapper attack path; N64-derived structured port now covers player target aim, damaged/death transitions, shorter burst timers, and lightning hooks."
0039a0f8,oot3d_boss_va_zapper_hold,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,BossVa_ZapperHold,src/overlays/actors/ovl_Boss_Va/z_boss_va_zapper_hold.c,matched-c,N64-derived zapper hold state adapted to OOT3D offsets; compiled source is exact for the hold/aim reset state.
003992fc,oot3d_boss_va_zapper_death,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,BossVa_ZapperDeath,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,structured-port-started,"Zapper death state; N64-derived structured port now covers joint jitter, effect/cutscene progression, death env, and actor kill path."
