entry,object_name,category,source,target_instruction_count
00285c18,ItemBHeart_Update,structural-near,src/game/actors/Item_B_Heart/z_item_b_heart.cpp,65
00165978,EnKz_Init,structural-near,src/game/actors/En_Kz/z_en_kz.cpp,111
003f48c4,FUN_003f48c4,structural-near,src/game/actors/Bg_Treemouth/z_bg_treemouth.cpp,86
00231380,ObjBombiwa_Init,structural-near,src/game/actors/Obj_Bombiwa/z_obj_bombiwa.cpp,50
0016e7f8,FUN_0016e7f8,structural-near,src/game/actors/Bg_Treemouth/z_bg_treemouth.cpp,82
002412b4,BgTreemouth_Init,structural-near,src/game/actors/Bg_Treemouth/z_bg_treemouth.cpp,84
0028a848,BgGndNisekabe_Init,structural-near,src/game/actors/Bg_Gnd_Nisekabe/z_bg_gnd_nisekabe.cpp,38
002aba54,BgHidanFirewall_Init,structural-near,src/game/actors/Bg_Hidan_Firewall/z_bg_hidan_firewall.cpp,50
0025375c,ItemBHeart_Init,structural-near,src/game/actors/Item_B_Heart/z_item_b_heart.cpp,27
002ab9cc,BgGndNisekabe_Draw,structural-near,src/game/actors/Bg_Gnd_Nisekabe/z_bg_gnd_nisekabe.cpp,26
00383094,BgSpot01Idomizu_Draw,structural-near,src/game/actors/Bg_Spot01_Idomizu/z_bg_spot01_idomizu.cpp,28
0022ef64,EnStream_Draw,structural-near,src/game/actors/En_Stream/z_en_stream.cpp,26
001944c0,FUN_001944c0,structural-near,src/game/actors/Bg_Treemouth/z_bg_treemouth.cpp,29
001dfb2c,EnTorch_Init,structural-near,src/game/actors/En_Torch/z_en_torch.cpp,29
003e8ab8,FUN_003e8ab8,structural-near,src/game/actors/Bg_Spot01_Idomizu/z_bg_spot01_idomizu.cpp,34
003bca4c,ObjKibako2_Kill,structural-near,src/game/actors/Obj_Kibako2/z_obj_kibako2.cpp,36
0016e5a4,FUN_0016e5a4,structural-near,src/game/actors/Bg_Treemouth/z_bg_treemouth.cpp,29
00134d28,EnKz_StartTimer,structural-near,src/game/actors/En_Kz/z_en_kz.cpp,32
001f8444,EnStream_Init,structural-near,src/game/actors/En_Stream/z_en_stream.cpp,35
001bf12c,EnVase_Init,structural-near,src/game/actors/En_Vase/z_en_vase.cpp,19
00165b68,EnKz_Destroy,structural-near,src/game/actors/En_Kz/z_en_kz.cpp,12
003c60c4,EnKz_PreMweepWait,structural-near,src/game/actors/En_Kz/z_en_kz.cpp,23
00118a24,EnKz_StopMweep,structural-near,src/game/actors/En_Kz/z_en_kz.cpp,18
003a5ad4,Actor1DA_Update,structural-near,src/game/actors/Actor_1DA/z_actor_1da.cpp,19
