id,category,domain,match_mode,n64_pattern,oot3d_symbol,confidence,notes
lane_regs_init,source-lane,pause,map-n64-name,Regs_InitDataImpl,oot3d_pause_split_helpers,high,N64 init lane already yielded four exact pause helpers
lane_message_update,source-lane,message,map-n64-name,Message_Update,oot3d_message_textbox_split,high,N64 message update lane yielded exact init and structured common body
lane_message_start,source-lane,message,map-n64-name,Message_StartTextbox,oot3d_message_start_textbox,high,N64 message start is exact after OOT3D context offsets
lane_boss_va_zapper,source-lane,boss_va,map-n64-source,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,oot3d_boss_va_zapper_lane,high,BossVa state flow ports directly with offset adapters
lane_player_collision,source-lane,player,map-n64-name,Player_ProcessSceneCollision,oot3d_player_process_scene_collision,high,Player collision has a structured OOT3D source lane
lane_player_draw,source-lane,player,map-n64-name,Player_DrawImpl,oot3d_player_draw_impl,medium,Two OOT3D variants share the N64 draw implementation lane
lane_kaleido_overlay,source-lane,pause,map-n64-name,KaleidoScope_DrawUIOverlay,oot3d_kaleido_overlay_splits,medium,Five OOT3D split targets share this N64 UI lane
bossva_actor_params,struct-field,boss_va,member,this->actor.params,OOT3D_BOSS_VA_OFFSET_PARAMS,high,Observed in BossVa death setup
bossva_shape_rot_x,struct-field,boss_va,member,this->actor.shape.rot.x,OOT3D_ACTOR_OFFSET_SHAPE_ROT_X,high,Shared actor shape rotation offset
bossva_shape_rot_y,struct-field,boss_va,member,this->actor.shape.rot.y,OOT3D_ACTOR_OFFSET_SHAPE_ROT_Y,high,Shared actor shape rotation offset
bossva_skel,struct-field,boss_va,member,this->skelAnime,oot3d_boss_va_skel_anime,high,SkelAnime moved to OOT3D_BOSS_VA_OFFSET_SKEL_ANIME
bossva_skel_cur_frame,struct-field,boss_va,member,this->skelAnime.curFrame,OOT3D_BOSS_VA_OFFSET_SKEL_CUR_FRAME,high,Used by zapper targeting
bossva_skel_play_speed,struct-field,boss_va,member,this->skelAnime.playSpeed,OOT3D_BOSS_VA_OFFSET_SKEL_PLAY_SPEED,high,Used by zapper targeting and death
bossva_joint_table,struct-field,boss_va,member,this->skelAnime.jointTable,oot3d_boss_va_joint_table,high,Joint table pointer accessor exists
bossva_action_func,struct-field,boss_va,member,this->actionFunc,OOT3D_BOSS_VA_OFFSET_ACTION_FUNC,high,Action setter helper exists
bossva_burst,struct-field,boss_va,member,this->burst,OOT3D_BOSS_VA_OFFSET_BURST,high,Burst byte accessor exists
bossva_timer2,struct-field,boss_va,member,this->timer2,OOT3D_BOSS_VA_OFFSET_TIMER2,high,Timer field exact in hold and setup lanes
bossva_is_dead,struct-field,boss_va,member,this->isDead,OOT3D_BOSS_VA_OFFSET_IS_DEAD,medium,Observed in death path
bossva_body_actor,struct-field,boss_va,token,GET_BODY,oot3d_boss_va_body_actor,high,Body pointer accessor replaces N64 macro
bossva_player_actor,struct-field,boss_va,token,GET_PLAYER,oot3d_play_player_actor,high,Player actor accessor replaces N64 macro
bossva_rot_e4,struct-field,boss_va,member,this->unk_1E4,OOT3D_BOSS_VA_OFFSET_ROT_E4,high,Zapper aim rotation bank
bossva_rot_e6,struct-field,boss_va,member,this->unk_1E6,OOT3D_BOSS_VA_OFFSET_ROT_E6,high,Zapper aim rotation bank
bossva_rot_e8_target,struct-field,boss_va,member,this->unk_1E8,OOT3D_BOSS_VA_OFFSET_ROT_E8_TARGET,medium,Zapper target rotation bank
bossva_rot_ea,struct-field,boss_va,member,this->unk_1EA,OOT3D_BOSS_VA_OFFSET_ROT_EA,high,Zapper pitch rotation bank
bossva_rot_ec,struct-field,boss_va,member,this->unk_1EC,OOT3D_BOSS_VA_OFFSET_ROT_EC,high,Zapper yaw rotation bank
bossva_rot_ee_target,struct-field,boss_va,member,this->unk_1EE,OOT3D_BOSS_VA_OFFSET_ROT_EE_TARGET,medium,Zapper target rotation bank
bossva_rot_f0,struct-field,boss_va,member,this->unk_1F0,OOT3D_BOSS_VA_OFFSET_ROT_F0,high,Zapper pitch rotation bank
bossva_rot_f2,struct-field,boss_va,member,this->unk_1F2,OOT3D_BOSS_VA_OFFSET_ROT_F2,high,Zapper yaw rotation bank
bossva_rot_f4_target,struct-field,boss_va,member,this->unk_1F4,OOT3D_BOSS_VA_OFFSET_ROT_F4_TARGET,medium,Zapper target rotation bank
bossva_zap_neck,struct-field,boss_va,member,this->zapNeckPos,OOT3D_BOSS_VA_OFFSET_ZAP_NECK_POS,high,Targeting vector offset exists
bossva_zap_head,struct-field,boss_va,member,this->zapHeadPos,OOT3D_BOSS_VA_OFFSET_ZAP_HEAD_POS,high,Targeting vector offset exists
bossva_lightning_collider,struct-field,boss_va,member,this->colliderLightning.base,OOT3D_BOSS_VA_OFFSET_LIGHTNING_COLLIDER,medium,Lightning collider offset used in structured source
engine_skel_update,engine-call,global,token,SkelAnime_Update,FUN_003731e0,high,Recovered animation update callee
engine_anim_last_frame,engine-call,global,token,Animation_GetLastFrame,FUN_0036ae14,high,Recovered animation frame lookup
engine_anim_change,engine-call,global,token,Animation_Change,FUN_00375c08,high,Recovered animation change callee
engine_anim_change_full_abi,engine-call,global,token,Animation_Change,oot3d_anim_change_full,high,Hard-float Animation_Change ABI uses r0/r1/r2 plus s0-s3; convert N64 Animation_Change calls when target VFP evidence is classified
engine_math_smooth_s,engine-call,global,token,Math_SmoothStepToS,FUN_00375a18,high,Primary s16 step function
engine_math_scaled_s,engine-call,global,token,Math_ScaledStepToS,FUN_00375a18,medium,Same OOT3D s16 step family with argument review needed
engine_math_smooth_f,engine-call,global,token,Math_SmoothStepToF,FUN_0036e168,high,Primary float step function
engine_vec_yaw,engine-call,global,token,Math_Vec3f_Yaw,FUN_003758b0,high,Recovered Vec3 yaw callee; OOT3D call shape is hard-float scalar delta z/x, not N64 pointer args
engine_vec_pitch,engine-call,global,token,Math_Vec3f_Pitch,FUN_0037587c,high,Recovered Vec3 pitch callee in BossVa
engine_vec_copy,engine-call,global,token,Math_Vec3f_Copy,oot3d_vec3f_copy,high,Local OOT3D helper exists
engine_rand_zero,engine-call,global,token,Rand_ZeroOne,FUN_003759d0,high,Recovered random float callee
