profile,entry,end,size,name,namespace,memory_block,is_thunk,thunk_target,parameter_count,calling_convention,return_type,caller_count,callers,callee_count,callees,global_ref_count,global_refs,string_count,strings,module,logical_file,owner,original_source,maintained_name,maintained_kind,maintained_confidence,maintained_source_file,maintained_notes,confidence,evidence,status
eur_rev0,0x00100028,0x00100043,28,oot3d_clear_bss,Global,oot3d_text,false,,0,unknown,undefined,0,,0,,5,0x00100044;0x00100048;0x0055A220;0x0055A224;0x0055A228,0,,platform/startup,src/oot3d/platform/startup/clear_bss.c,clear_bss,,oot3d_clear_bss,function,high,analysis/codebin_decompilation_batch_155.md,"Reviews the complete observed native `oot3d_clear_bss` body and establishes its public ABI from the OoT3D entry frame, register and stack flow, and maintained callee contracts.",certain,manual_symbol:oot3d_clear_bss; confidence:high; source:analysis/codebin_decompilation_batch_155.md,maintained_symbol
eur_rev0,0x0010004C,0x00100063,24,oot3d_copy_sparse_words_36,Global,oot3d_text,false,,0,unknown,undefined,1,0x001FE3DC,0,,0,,0,,runtime,src/oot3d/runtime/runtime_helpers.c,runtime_helpers,,oot3d_copy_sparse_words_36,function,high,analysis/codebin_decompilation_batch_155.md,"Reviews the complete observed native `oot3d_copy_sparse_words_36` body and establishes its public ABI from the OoT3D entry frame, register and stack flow, and maintained callee contracts.",certain,manual_symbol:oot3d_copy_sparse_words_36; confidence:high; source:analysis/codebin_decompilation_batch_155.md,maintained_symbol
eur_rev0,0x001000EC,0x001001BF,212,oot3d_strncmp,Global,oot3d_text,false,,0,unknown,undefined,1,0x0040DCB4,0,,1,0x001001C0,0,,runtime,src/oot3d/runtime/runtime_helpers.c,runtime_helpers,,oot3d_strncmp,function,high,analysis/codebin_decompilation_batch_157.md,"Reviews the complete observed native `oot3d_strncmp` body and establishes its public ABI from the OoT3D entry frame, register and stack flow, and maintained callee contracts.",certain,manual_symbol:oot3d_strncmp; confidence:high; source:analysis/codebin_decompilation_batch_157.md,maintained_symbol
eur_rev0,0x0010031C,0x001D08AB,112,BgZg_Draw,Global,oot3d_text,false,,2,default,void,0,,3,0x00372170;0x003721E0;0x00372224,2,0x00100340;0x00514380,0,,game/actors,src/oot3d/game/actors/bgzg_draw.cpp,BgZg_Draw,,BgZg_Draw,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit draw slot evidence; bounded owner(s)=BgZg; record(s)=0x0051435C.,certain,manual_symbol:BgZg_Draw; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x00100344,0x00100367,36,BgZg_Update,Global,oot3d_text,false,,2,default,void,0,,0,,2,0x00100368;0x00514384,0,,game/actors,src/oot3d/game/actors/cluster_00100344.cpp,cluster_00100344,,BgZg_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=BgZg; record(s)=0x0051435C.,certain,manual_symbol:BgZg_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x00100434,0x001004BF,140,EnDns_CompleteSale,Global,oot3d_text,false,,2,default,void,0,,3,0x00346964;0x0037693C;0x003769D8,3,0x001004C0;0x001004C4;0x003C3C04,0,,game/actors,src/oot3d/game/actors/En_Dns/z_en_dns.cpp,z_en_dns,,EnDns_CompleteSale,function,high,analysis/codebin_decompilation_batch_074.md,Native body reconciled with its actor state machine.,certain,manual_symbol:EnDns_CompleteSale; confidence:high; source:analysis/codebin_decompilation_batch_074.md,maintained_symbol
eur_rev0,0x001004C8,0x001005C7,256,EnHorseNormal_Update,Global,oot3d_text,false,,2,default,void,0,,4,0x003762A4;0x0037632C;0x00376340;0x00376864,10,0x001005C8;0x001005CC;0x001005D0;0x001005D4;0x001005D8;0x001005DC;0x001005E0;0x001005E4;0x001005E8;0x005272D8,0,,game/actors,src/oot3d/game/actors/En_Horse_Normal/z_en_horse_normal.cpp,z_en_horse_normal,,EnHorseNormal_Update,function,high,analysis/codebin_decompilation_batch_065.md,Maintained EnHorseNormal workflow entrypoint in multi-actor tranche 065.,certain,manual_symbol:EnHorseNormal_Update; confidence:high; source:analysis/codebin_decompilation_batch_065.md,maintained_symbol
eur_rev0,0x001005EC,0x00100863,632,EnBb_Update,Global,oot3d_text,false,,2,default,void,0,,6,0x001D4B0C;0x00376168;0x003761F0;0x003762A4;0x00376340;0x00376864,7,0x00100864;0x00100868;0x0010086C;0x00100870;0x00100874;0x00100878;0x0010087C,0,,game/actors,src/oot3d/game/actors/cluster_00100344.cpp,cluster_00100344,,EnBb_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnBb; record(s)=0x00520B60.,certain,manual_symbol:EnBb_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x00100880,0x00100883,4,EnEg_Draw,Global,oot3d_text,false,,2,default,void,0,,0,,0,,0,,game/actors,src/oot3d/game/actors/eneg_draw.cpp,EnEg_Draw,,EnEg_Draw,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit draw slot evidence; bounded owner(s)=EnEg; record(s)=0x00522DC4.,certain,manual_symbol:EnEg_Draw; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x00100884,0x00249B93,192,EnEg_Update,Global,oot3d_text,false,,2,default,void,0,,4,0x003655D0;0x0036E864;0x0036F4F0;0x0037547C,12,0x001008A8;0x00249B94;0x00249B98;0x00249B9C;0x00249BA0;0x00249BA4;0x00249BA8;0x00522DE4;0x0054AC20;0x0054AC24;0x00588E44;0x00588EBC,0,,game/actors,src/oot3d/game/actors/eneg_update.cpp,EnEg_Update,,EnEg_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnEg; record(s)=0x00522DC4.,certain,manual_symbol:EnEg_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
