entry,size,name,boundary_kind,body_status,abi_status,classification,evidence,notes
0x0015088C,60,caseD_1,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_micro_tranche_155_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x0016EA34,104,caseD_0,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_small_tranche_156_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x0016EA9C,176,caseD_2_0016ea9c,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_medium_tranche_157_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x00194708,260,caseD_3,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_large_tranche_158_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x001A6260,88,caseD_0_001a6260,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_small_tranche_156_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x001BCE9C,200,caseD_0_001bce9c,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_medium_tranche_157_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x001BCF6C,1728,caseD_0_001bcf6c,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_xxlarge_tranche_160_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x001D1E0C,184,caseD_0_001d1e0c,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_medium_tranche_157_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x001D21D4,988,caseD_2_001d21d4,non_callable_internal,not_independent_body,not_applicable,switch_owned_case,codebin_maintained_abi_xlarge_tranche_159_exclusions.csv,Retains the exact native exclusion proved by the maintained-ABI closure audit.
0x001DC864,76,FUN_001dc864,historical_non_autonomous_boundary,not_independent_body,not_applicable,historical_boundary_quarantine,analysis/codebin_decompilation_batch_154.md,"Direct dependencies are maintained, but the range/owner audits prove this apparent entry is not an independent public AAPCS boundary."
